Timestamp                       Thread     Type        Activity             PID    TTL  
2025-03-16 15:38:23.993175+0100 0x35e26a7  Activity    0x25b4270            71744  0    sketchybar: (libsystem_info.dylib) Retrieve User by ID
2025-03-16 15:38:23.995357+0100 0x35e26a7  Activity    0x25b4271            71744  0    sketchybar: (TCC) TCCAccessRequest() IPC
2025-03-16 15:38:23.995463+0100 0x35e26a7  Default     0x25b4271            71744  0    sketchybar: (libxpc.dylib) [com.apple.xpc:connection] [0x60000106c000] activating connection: mach=true listener=false peer=false name=com.apple.tccd.system
2025-03-16 15:38:23.998241+0100 0x35e26a7  Default     0x25b4271            71744  0    sketchybar: (libxpc.dylib) [com.apple.xpc:connection] [0x60000106c000] invalidated after the last release of the connection object
2025-03-16 15:38:23.998572+0100 0x35e26a7  Default     0x0                  71744  7    sketchybar: (SkyLight) [com.apple.SkyLight:default] server port 0x00000f0f, session port 0x00000f0f
2025-03-16 15:38:24.001967+0100 0x35e26a7  Default     0x0                  71744  0    sketchybar: (libxpc.dylib) [com.apple.xpc:connection] [0x600001060000] activating connection: mach=true listener=false peer=false name=com.apple.coreservices.launchservicesd
2025-03-16 15:38:24.005281+0100 0x35e26a7  Default     0x0                  71744  7    sketchybar: (SkyLight) [com.apple.SkyLight:default] New connection 0x32dab main
2025-03-16 15:38:24.006999+0100 0x35e26a7  Default     0x0                  71744  0    sketchybar: (libxpc.dylib) [com.apple.xpc:connection] [0x600001068000] activating connection: mach=true listener=false peer=false name=com.apple.cfprefsd.daemon
2025-03-16 15:38:24.007080+0100 0x35e26b9  Default     0x0                  71744  0    sketchybar: (libxpc.dylib) [com.apple.xpc:connection] [0x600001064000] activating connection: mach=true listener=false peer=false name=com.apple.cfprefsd.agent
2025-03-16 15:38:24.010014+0100 0x35e26a7  Default     0x0                  71744  0    sketchybar: (libxpc.dylib) [com.apple.xpc:connection] [0x60000136ca00] activating connection: mach=true listener=false peer=false name=com.apple.fonts
2025-03-16 15:38:24.015358+0100 0x35e26a7  Default     0x0                  71744  0    sketchybar: (libxpc.dylib) [com.apple.xpc:connection] [0x6000010680f0] activating connection: mach=true listener=false peer=false name=com.apple.distributed_notifications@Uv3
2025-03-16 15:38:24.018439+0100 0x35e26a7  Default     0x0                  71744  0    sketchybar: (libxpc.dylib) [com.apple.xpc:connection] [0x139504430] activating connection: mach=false listener=true peer=false name=(anonymous)
2025-03-16 15:38:24.018442+0100 0x35e26a7  Default     0x0                  71744  0    sketchybar: (libxpc.dylib) [com.apple.xpc:connection] [0x139504430] Channel could not return listener port.
